AADAC	3
AGRN	1
AIPL1	1
AMPH	1
ANK3	1
APBA2	1
AQP4	1
BDNF	1
CCK	1
CD69	1
CNTNAP2	5
COL8A1	1
COMT	9
DBH	2
ERMN	624
FBXO28	1
FGF21	1
FOS	2
GABARAP	1
GAD1	1
GCH1	1
GDNF	2
GFAP	2
GP2	2
GPHN	1
GSTP1	2
HEMGN	6
HOMER1	2
HR	5
HTR2C	1
IL10	1
IMPACT	1
INS	12
INSR	1
KCNJ5	1
LHX6	1
LHX8	1
MAL	3
MALL	2
MAOB	1
MBP	4
MOG	1
NPY	1
NTS	12
OLFM1	2
OLIG2	1
OTOR	1
PLA2G6	1
PPL	1
PRL	23
PSEN1	1
RD3	1
RETN	2
RHO	1
RIDA	3
ROBO4	1
SET	10
SLC1A1	1
SLC1A3	1
SLITRK1	10
SLITRK5	1
STX1A	1
SYP	2
TH	63
TNF	18
TPRN	1
VDR	1
VXN	1
WAS	31
ZBTB2	1
ZNF765	1
