Approved symbol	Approved name	Ensembl gene ID
A1BG	alpha-1-B glycoprotein	ENSG00000121410
A1BG-AS1	A1BG antisense RNA 1	ENSG00000268895
A1CF	APOBEC1 complementation factor	ENSG00000148584
A1S9T	symbol withdrawn, see [HGNC:12469](/data/gene-symbol-report/#!/hgnc_id/HGNC:12469)	
A2M	alpha-2-macroglobulin	ENSG00000175899
A2M-AS1	A2M antisense RNA 1	ENSG00000245105
A2ML1	alpha-2-macroglobulin like 1	ENSG00000166535
A2ML1-AS1	A2ML1 antisense RNA 1	ENSG00000256661
A2ML1-AS2	A2ML1 antisense RNA 2	ENSG00000256904
A2MP1	alpha-2-macroglobulin pseudogene 1	ENSG00000256069
A2MR	symbol withdrawn, see [HGNC:6692](/data/gene-symbol-report/#!/hgnc_id/HGNC:6692)	
A2MRAP	symbol withdrawn, see [HGNC:6701](/data/gene-symbol-report/#!/hgnc_id/HGNC:6701)	
A3GALT2	alpha 1,3-galactosyltransferase 2	ENSG00000184389
A4GALT	alpha 1,4-galactosyltransferase (P1PK blood group)	ENSG00000128274
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	ENSG00000118017
A12M1	adenovirus-12 chromosome modification site 1C	
A12M2	adenovirus-12 chromosome modification site 1A	
A12M3	adenovirus-12 chromosome modification site 1B	
A12M4	adenovirus-12 chromosome modification site 17	
AA	symbol withdrawn, see [HGNC:11714](/data/gene-symbol-report/#!/hgnc_id/HGNC:11714)	
AAAS	aladin WD repeat nucleoporin	ENSG00000094914
AABT	amino acid transport, beta	
AAC1	symbol withdrawn, see [HGNC:7645](/data/gene-symbol-report/#!/hgnc_id/HGNC:7645)	
AAC2	symbol withdrawn, see [HGNC:7646](/data/gene-symbol-report/#!/hgnc_id/HGNC:7646)	
AACS	acetoacetyl-CoA synthetase	ENSG00000081760
AACSP1	acetoacetyl-CoA synthetase pseudogene 1	ENSG00000250420
AACT	symbol withdrawn, see [HGNC:16](/data/gene-symbol-report/#!/hgnc_id/HGNC:16)	
AADAC	arylacetamide deacetylase	ENSG00000114771
AADACL2	arylacetamide deacetylase like 2	ENSG00000197953
AADACL2-AS1	AADACL2 antisense RNA 1	ENSG00000242908
AADACL3	arylacetamide deacetylase like 3	ENSG00000188984
AADACL4	arylacetamide deacetylase like 4	ENSG00000204518
AADACP1	arylacetamide deacetylase pseudogene 1	ENSG00000240602
AADAT	aminoadipate aminotransferase	ENSG00000109576
AAGAB	alpha and gamma adaptin binding protein	ENSG00000103591
AAK1	AP2 associated kinase 1	ENSG00000115977
AAMDC	adipogenesis associated Mth938 domain containing	ENSG00000087884
AAMP	angio associated migratory cell protein	ENSG00000127837
AANAT	aralkylamine N-acetyltransferase	ENSG00000129673
AAR2	AAR2 splicing factor	ENSG00000131043
AARD	alanine and arginine rich domain containing protein	ENSG00000205002
AARS1	alanyl-tRNA synthetase 1	ENSG00000090861
AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	ENSG00000249038
AARS2	alanyl-tRNA synthetase 2, mitochondrial	ENSG00000124608
AARSD1	alanyl-tRNA synthetase domain containing 1	ENSG00000266967
AARSD1P1	AARSD1 pseudogene 1	ENSG00000234969
AASDH	aminoadipate-semialdehyde dehydrogenase	ENSG00000157426
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	ENSG00000149313
AASDHPPT-AS1	AASDHPPT antisense RNA 1	ENSG00000254433
AASS	aminoadipate-semialdehyde synthase	ENSG00000008311
AATBC	apoptosis associated transcript in bladder cancer	ENSG00000215458
AATF	apoptosis antagonizing transcription factor	ENSG00000275700
AATK	apoptosis associated tyrosine kinase	ENSG00000181409
AAVS1	adeno-associated virus integration site 1	
ABALON	apoptotic BCL2L1-antisense long non-coding RNA	ENSG00000281376
ABAT	4-aminobutyrate aminotransferase	ENSG00000183044
ABC1	symbol withdrawn, see [HGNC:29](/data/gene-symbol-report/#!/hgnc_id/HGNC:29)	
ABC2	symbol withdrawn, see [HGNC:32](/data/gene-symbol-report/#!/hgnc_id/HGNC:32)	
ABC3	symbol withdrawn, see [HGNC:33](/data/gene-symbol-report/#!/hgnc_id/HGNC:33)	
ABC7	symbol withdrawn, see [HGNC:48](/data/gene-symbol-report/#!/hgnc_id/HGNC:48)	
ABC50	symbol withdrawn, see [HGNC:70](/data/gene-symbol-report/#!/hgnc_id/HGNC:70)	
ABCA1	ATP binding cassette subfamily A member 1	ENSG00000165029
ABCA2	ATP binding cassette subfamily A member 2	ENSG00000107331
ABCA3	ATP binding cassette subfamily A member 3	ENSG00000167972
ABCA3P1	ABCA3 pseudogene 1	ENSG00000257408
ABCA4	ATP binding cassette subfamily A member 4	ENSG00000198691
ABCA5	ATP binding cassette subfamily A member 5	ENSG00000154265
ABCA6	ATP binding cassette subfamily A member 6	ENSG00000154262
ABCA7	ATP binding cassette subfamily A member 7	ENSG00000064687
ABCA8	ATP binding cassette subfamily A member 8	ENSG00000141338
ABCA9	ATP binding cassette subfamily A member 9	ENSG00000154258
ABCA9-AS1	ABCA9 antisense RNA 1	ENSG00000231749
ABCA10	ATP binding cassette subfamily A member 10	ENSG00000154263
ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	ENSG00000251595
ABCA12	ATP binding cassette subfamily A member 12	ENSG00000144452
ABCA13	ATP binding cassette subfamily A member 13	ENSG00000179869
ABCA15P	ATP binding cassette subfamily A member 15, pseudogene	ENSG00000189149
